,DBH,DBH_count,Pan,Pan_count,FMC,FMC_count,DIA,DIA_count,EXP,EXP_count,FC,FC_count,ETC,ETC_count,NAP,NAP_count,SKC,SKC_count
0,더블하트 SofTouch 모유실감 젖꼭지 L (2입),2745,하기스 네이처메이드 팬티 4단계 여아 96매(팬티형),872,크리넥스 여행용티슈 카카오프렌즈 70매 X 3개입,1160,하기스 네이처메이드 2단계 여아 156매(밴드형),2962,맘큐 허그박스,11694,좋은느낌 팬티라이너 유기농 순면 롱 36개입,599,[증정] 하기스 리미티드 비치볼,237,릴리유 무민 리미티드 아기물티슈 캡형 80매X10팩,1003,그린핑거 힘센보습 울트라 로션 260ml,868
1,더블하트 SofTouch 모유실감 젖꼭지 M (2입),2706,하기스 네이처메이드 팬티 4단계 남아 96매(팬티형),843,크리넥스 순수 3겹 소프트 27m-30롤,1074,하기스 네이처메이드 2단계 남아 156매(밴드형),2747,하기스 맥스드라이 3단계 공용 20매(밴드형/체험팩),2168,좋은느낌 순수 팬티라이너 롱 18개입,568,[율그란] 무형광 오가닉 유아마스크 (0~5세) 7컬러,180,릴리유 도톰한 아기물티슈 캡형 80매X10팩,540,그린핑거 힘센보습 울트라 샴푸 300ml,605
2,더블하트 SofTouch 모유실감 젖꼭지 S (2입),2070,하기스 네이처메이드 팬티 3단계 여아 116매(팬티형),792,크리넥스 안심 클래식 키친타월 140매 X 12롤,1017,하기스 네이처메이드 3단계 여아 132매(밴드형),2562,2020 하기스 매직 컴포트 3단계 공용 20매(밴드형/체험팩),1321,좋은느낌 좋은순면 팬티라이너 롱 36개입,466,[실리만] 실리콘 손가락 칫솔 WSB242,114,릴리유 퓨어골드 무민에디션 아기물티슈 캡형 80매X8팩,517,그린핑거 힘센보습 울트라 워시 300ml,602
3,더블하트 SofTouch 모유실감 젖꼭지 LL (2입),1812,2020 하기스 매직팬티 컴포트 4단계 남아 132매(팬티형),731,크리넥스 마이비데 46매 X 10팩,982,하기스 네이처메이드 3단계 남아 132매(밴드형),2332,하기스 맥스드라이 팬티 4단계 남아 20매(팬티형/체험팩),1201,좋은느낌 입는 오버나이트 대형 8개입,439,[필리앤임프스] 프리미엄 아기내복 실내 상하복 16종 택1,98,하기스 수딩케어 물티슈 캡형 64매X10팩,483,그린핑거 시그니처 물티슈 캡형 64매 x 6팩,569
4,더블하트 젖꼭지 브러쉬 와이드형+젖병 스펀지 브러쉬 일반형,1149,하기스 NEW 네이처메이드 썸머팬티 4단계 공용 82매(팬티형),708,크리넥스 안심 클래식 키친타올 120매 X 4롤,816,하기스 네이처메이드 1단계 공용 186매(밴드형),1738,하기스 맥스드라이 팬티 4단계 여아 20매(팬티형/체험팩),1106,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입,421,[먼치킨] NEW 무지개이유스푼-6p,90,릴리유 무민 시그니처 아기물티슈 캡형 72매X8팩,468,그린핑거 네이처메이드 베이비 샴푸&워시 230ml,322
5,더블하트 SofTouch 모유실감 노꼭지 트윈팩 240ml(오렌지),1141,하기스 네이처메이드 팬티 밤부 4단계 남아 108매(팬티형),616,크리넥스 3겹 데코앤소프트 27m 30롤,755,하기스 맥스드라이 3단계 공용 132매(밴드형),1159,2020 하기스 매직팬티 컴포트 4단계 남아 20매(팬티형/체험팩),1060,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입,393,[실리만] 실리콘 손가락 칫솔(2P) WSB2421,85,릴리유 도톰한 하트엠보싱 아기물티슈 캡형 80매X10팩,443,그린핑거 촉촉한 자연보습 로션 320ml,247
6,더블하트 SofTouch 모유실감 젖꼭지 SS (1입) x 2,789,2020 하기스 매직팬티 컴포트 4단계 여아 132매(팬티형),607,크리넥스 데코앤소프트 클래식 27-30롤,739,[2019년형] 하기스 에어솔솔 썸머기저귀 3단계 공용 144매(밴드형),1089,2020 하기스 매직팬티 컴포트 4단계 여아 20매(팬티형/체험팩),909,좋은느낌 순수 울트라 날개 중형 18개입,387,2020 하기스 매직 컴포트 4단계 공용 150매(밴드형),84,릴리유 도톰한 아기물티슈 휴대형 20매X20팩,434,그린핑거 힘센보습 울트라 크리미오일 180ml,228
7,더블하트 젖병세정제 거품형 700ml(용기) + 650ml(리필),734,하기스 네이처메이드 팬티 5단계 남아 80매(팬티형),585,크리넥스 NEW 디럭스 미니_카카오 230매 X 6개입,738,하기스 매직핏기저귀 2단계 공용 192매(밴드형),1018,[2019년형] 하기스 에어솔솔 썸머기저귀 3단계 공용 20매(밴드형/체험팩),865,좋은느낌 솜솜 중형 날개형 14개입,350,립톤 아이스티 피치 1500g,82,릴리유 퓨어핑크 아기물티슈 캡형 72매X20팩,267,그린핑거 힘센 보습 울트라크림 300g,209
8,더블하트 SofTouch 모유실감 젖병 노꼭지트윈팩 160ml(오렌지) + SofTouch 모유실감 젖꼭지 S(2입),717,하기스 네이처메이드 팬티 밤부 4단계 여아 108매(팬티형),543,크리넥스 클래식 180매 X 8개입,629,2020 하기스 매직 컴포트 3단계 공용 180매(밴드형),864,NEW 하기스 맥스드라이 팬티 4단계 공용 20매(팬티형/체험팩),822,좋은느낌 솜솜 수퍼롱 오버나이트 8개입,335,[먼치킨] 손잡이 추 빨대컵 (색상랜덤발송),75,[1+1] 하기스 수딩케어 물티슈 캡형 64매X10팩,258,그린핑거 마이키즈 얼굴로션 160ml,204
9,더블하트 SofTouch 모유실감 노꼭지트윈팩 240ml(오렌지) + SofTouch 모유실감 젖꼭지 M(2입),597,하기스 네이처메이드 팬티 5단계 여아 80매(팬티형),479,크리넥스 디럭스 신수성 리미티드 250매X3개입,536,하기스 네이처메이드 밤부 3단계 여아 144매(밴드형),863,2020 하기스 매직팬티 컴포트 3단계 여아 20매(팬티형/체험팩),704,좋은느낌 유기농 순면 뉴 오버나이트 10개입,322,[요미요미] 특별기획 튼튼주스 2종(배도라지 20개입 + 프룬사과 20개입) + 파우치토퍼,72,하기스 뉴본케어 물티슈 캡형 64매X10팩,256,그린핑거 마이키즈 워시 대용량 500ml,181
10,더블하트 젖꼭지 브러쉬 와이드형,577,하기스 네이처메이드 팬티 3단계 남아 116매(팬티형),472,크리넥스 베이비 입체 마스크 (3개입),518,하기스 네이처메이드 밤부 2단계 여아 156매(밴드형),850,2020 하기스 매직팬티 컴포트 3단계 남아 20매(팬티형/체험팩),683,좋은느낌 솜솜 대형 날개형 12개입,310,[먼치킨] 손잡이 흘림방지 스낵컵 (색상랜덤발송),71,릴리유 퓨어골드 아기물티슈 캡형 80매X10팩,240,그린핑거 힘센 보습 울트라크림 300g X 2,181
